PrimaryKey,DataType,Value,StatusCode,SourceTimeStamp,ServerTimeStamp
3,0x000a,0.942993,0x00000000,2016-11-10T19:42:15.328Z,2016-11-10T19:42:15.778Z
2,0x000a,15.7654,0x00000000,2016-11-10T19:42:15.313Z,2016-11-10T19:42:15.778Z
1,0x000a,0.762939,0x00000000,2016-11-10T19:42:15.294Z,2016-11-10T19:42:15.778Z
3,0x000a,0.93689,0x00000000,2016-11-10T19:42:16.140Z,2016-11-10T19:42:16.516Z
2,0x000a,15.1428,0x00000000,2016-11-10T19:42:16.118Z,2016-11-10T19:42:16.516Z
1,0x000a,0.265503,0x00000000,2016-11-10T19:42:16.043Z,2016-11-10T19:42:16.515Z
3,0x000a,0.924683,0x00000000,2016-11-10T19:42:16.825Z,2016-11-10T19:42:17.277Z
2,0x000a,15.4449,0x00000000,2016-11-10T19:42:16.795Z,2016-11-10T19:42:17.277Z
1,0x000a,0.643921,0x00000000,2016-11-10T19:42:16.772Z,2016-11-10T19:42:17.276Z
3,0x000a,0.863647,0x00000000,2016-11-10T19:42:17.599Z,2016-11-10T19:42:18.066Z
2,0x000a,16.7511,0x00000000,2016-11-10T19:42:17.570Z,2016-11-10T19:42:18.065Z
1,0x000a,0.765991,0x00000000,2016-11-10T19:42:17.541Z,2016-11-10T19:42:18.065Z
3,0x000a,0.891113,0x00000000,2016-11-10T19:42:18.395Z,2016-11-10T19:42:18.834Z
2,0x000a,17.7612,0x00000000,2016-11-10T19:42:18.368Z,2016-11-10T19:42:18.834Z
1,0x000a,0.335693,0x00000000,2016-11-10T19:42:18.328Z,2016-11-10T19:42:18.834Z
3,0x000a,0.866699,0x00000000,2016-11-10T19:42:19.195Z,2016-11-10T19:42:19.569Z
2,0x000a,18.2526,0x00000000,2016-11-10T19:42:19.169Z,2016-11-10T19:42:19.568Z
1,0x000a,0.241089,0x00000000,2016-11-10T19:42:19.128Z,2016-11-10T19:42:19.568Z
3,0x000a,0.857544,0x00000000,2016-11-10T19:42:19.916Z,2016-11-10T19:42:20.271Z
2,0x000a,17.7887,0x00000000,2016-11-10T19:42:19.872Z,2016-11-10T19:42:20.271Z
1,0x000a,0.701904,0x00000000,2016-11-10T19:42:19.799Z,2016-11-10T19:42:20.271Z
3,0x000a,1.24817,0x00000000,2016-11-10T19:42:20.583Z,2016-11-10T19:42:21.018Z
2,0x000a,17.4652,0x00000000,2016-11-10T19:42:20.549Z,2016-11-10T19:42:21.018Z
1,0x000a,0.22583,0x00000000,2016-11-10T19:42:20.520Z,2016-11-10T19:42:21.017Z
3,0x000a,0.830078,0x00000000,2016-11-10T19:42:21.327Z,2016-11-10T19:42:21.742Z
2,0x000a,16.9098,0x00000000,2016-11-10T19:42:21.296Z,2016-11-10T19:42:21.741Z
1,0x000a,0.683594,0x00000000,2016-11-10T19:42:21.257Z,2016-11-10T19:42:21.741Z
3,0x000a,0.78125,0x00000000,2016-11-10T19:42:22.068Z,2016-11-10T19:42:22.423Z
2,0x000a,17.0502,0x00000000,2016-11-10T19:42:22.038Z,2016-11-10T19:42:22.423Z
1,0x000a,0.823975,0x00000000,2016-11-10T19:42:21.992Z,2016-11-10T19:42:22.422Z
3,0x000a,0.784302,0x00000000,2016-11-10T19:42:22.733Z,2016-11-10T19:42:23.090Z
2,0x000a,16.9342,0x00000000,2016-11-10T19:42:22.707Z,2016-11-10T19:42:23.089Z
1,0x000a,0.762939,0x00000000,2016-11-10T19:42:22.666Z,2016-11-10T19:42:23.089Z
3,0x000a,0.787354,0x00000000,2016-11-10T19:42:23.400Z,2016-11-10T19:42:23.841Z
2,0x000a,16.748,0x00000000,2016-11-10T19:42:23.358Z,2016-11-10T19:42:23.841Z
1,0x000a,0.973511,0x00000000,2016-11-10T19:42:23.326Z,2016-11-10T19:42:23.840Z
3,0x000a,0.830078,0x00000000,2016-11-10T19:42:24.134Z,2016-11-10T19:42:24.575Z
2,0x000a,16.7877,0x00000000,2016-11-10T19:42:24.104Z,2016-11-10T19:42:24.575Z
1,0x000a,0.686646,0x00000000,2016-11-10T19:42:24.073Z,2016-11-10T19:42:24.574Z
3,0x000a,0.769043,0x00000000,2016-11-10T19:42:24.858Z,2016-11-10T19:42:25.312Z
2,0x000a,16.2659,0x00000000,2016-11-10T19:42:24.829Z,2016-11-10T19:42:25.311Z
1,0x000a,0.137329,0x00000000,2016-11-10T19:42:24.775Z,2016-11-10T19:42:25.311Z
3,0x000a,0.845337,0x00000000,2016-11-10T19:42:25.631Z,2016-11-10T19:42:26.041Z
2,0x000a,16.6687,0x00000000,2016-11-10T19:42:25.603Z,2016-11-10T19:42:26.041Z
1,0x000a,0.439453,0x00000000,2016-11-10T19:42:25.572Z,2016-11-10T19:42:26.040Z
3,0x000a,0.78125,0x00000000,2016-11-10T19:42:26.314Z,2016-11-10T19:42:26.731Z
2,0x000a,16.7175,0x00000000,2016-11-10T19:42:26.297Z,2016-11-10T19:42:26.731Z
1,0x000a,0.198364,0x00000000,2016-11-10T19:42:26.276Z,2016-11-10T19:42:26.730Z
3,0x000a,0.796509,0x00000000,2016-11-10T19:42:27.067Z,2016-11-10T19:42:27.461Z
2,0x000a,16.1682,0x00000000,2016-11-10T19:42:27.032Z,2016-11-10T19:42:27.461Z
1,0x000a,0.469971,0x00000000,2016-11-10T19:42:26.985Z,2016-11-10T19:42:27.461Z
3,0x000a,0.799561,0x00000000,2016-11-10T19:42:27.765Z,2016-11-10T19:42:28.173Z
2,0x000a,16.2628,0x00000000,2016-11-10T19:42:27.721Z,2016-11-10T19:42:28.172Z
1,0x000a,0.149536,0x00000000,2016-11-10T19:42:27.672Z,2016-11-10T19:42:28.172Z
3,0x000a,0.796509,0x00000000,2016-11-10T19:42:28.512Z,2016-11-10T19:42:28.910Z
2,0x000a,16.8213,0x00000000,2016-11-10T19:42:28.478Z,2016-11-10T19:42:28.910Z
1,0x000a,0.424194,0x00000000,2016-11-10T19:42:28.445Z,2016-11-10T19:42:28.910Z
2,0x000a,16.4246,0x00000000,2016-11-10T19:42:29.192Z,2016-11-10T19:42:29.592Z
1,0x000a,0.119019,0x00000000,2016-11-10T19:42:29.142Z,2016-11-10T19:42:29.592Z
3,0x000a,0.799561,0x00000000,2016-11-10T19:42:29.913Z,2016-11-10T19:42:30.289Z
2,0x000a,16.684,0x00000000,2016-11-10T19:42:29.842Z,2016-11-10T19:42:30.289Z
1,0x000a,0.27771,0x00000000,2016-11-10T19:42:29.820Z,2016-11-10T19:42:30.289Z
2,0x000a,16.7419,0x00000000,2016-11-10T19:42:30.602Z,2016-11-10T19:42:30.995Z
1,0x000a,0.506592,0x00000000,2016-11-10T19:42:30.570Z,2016-11-10T19:42:30.994Z
3,0x000a,0.775146,0x00000000,2016-11-10T19:42:31.303Z,2016-11-10T19:42:31.689Z
2,0x000a,16.156,0x00000000,2016-11-10T19:42:31.286Z,2016-11-10T19:42:31.689Z
1,0x000a,0.289917,0x00000000,2016-11-10T19:42:31.233Z,2016-11-10T19:42:31.689Z
