PrimaryKey,DataType,Value,StatusCode,SourceTimeStamp,ServerTimeStamp
1,0x000a,0.45166,0x00000000,2016-11-10T13:14:10.115Z,2016-11-10T13:14:10.550Z
1,0x000a,0.482178,0x00000000,2016-11-10T13:14:10.788Z,2016-11-10T13:14:11.221Z
1,0x000a,0.354004,0x00000000,2016-11-10T13:14:11.478Z,2016-11-10T13:14:11.889Z
1,0x000a,0.317383,0x00000000,2016-11-10T13:14:12.140Z,2016-11-10T13:14:12.564Z
1,0x000a,0.424194,0x00000000,2016-11-10T13:14:12.820Z,2016-11-10T13:14:13.258Z
1,0x000a,0.570679,0x00000000,2016-11-10T13:14:13.521Z,2016-11-10T13:14:13.943Z
1,0x000a,0.466919,0x00000000,2016-11-10T13:14:14.238Z,2016-11-10T13:14:14.659Z
1,0x000a,0.369263,0x00000000,2016-11-10T13:14:14.917Z,2016-11-10T13:14:15.345Z
1,0x000a,0.524902,0x00000000,2016-11-10T13:14:15.615Z,2016-11-10T13:14:16.064Z
1,0x000a,0.552368,0x00000000,2016-11-10T13:14:16.310Z,2016-11-10T13:14:16.692Z
1,0x000a,0.543213,0x00000000,2016-11-10T13:14:16.950Z,2016-11-10T13:14:17.411Z
1,0x000a,0.335693,0x00000000,2016-11-10T13:14:17.675Z,2016-11-10T13:14:18.115Z
1,0x000a,0.387573,0x00000000,2016-11-10T13:14:18.360Z,2016-11-10T13:14:18.815Z
1,0x000a,0.463867,0x00000000,2016-11-10T13:14:19.124Z,2016-11-10T13:14:19.590Z
1,0x000a,0.369263,0x00000000,2016-11-10T13:14:19.857Z,2016-11-10T13:14:20.258Z
1,0x000a,0.610352,0x00000000,2016-11-10T13:14:20.506Z,2016-11-10T13:14:20.908Z
1,0x000a,0.567627,0x00000000,2016-11-10T13:14:21.206Z,2016-11-10T13:14:21.664Z
1,0x000a,0.524902,0x00000000,2016-11-10T13:14:21.919Z,2016-11-10T13:14:22.367Z
1,0x000a,0.57373,0x00000000,2016-11-10T13:14:22.632Z,2016-11-10T13:14:23.093Z
1,0x000a,0.436401,0x00000000,2016-11-10T13:14:23.335Z,2016-11-10T13:14:23.774Z
1,0x000a,0.439453,0x00000000,2016-11-10T13:14:24.049Z,2016-11-10T13:14:24.456Z
1,0x000a,0.442505,0x00000000,2016-11-10T13:14:24.700Z,2016-11-10T13:14:25.134Z
1,0x000a,0.570679,0x00000000,2016-11-10T13:14:25.349Z,2016-11-10T13:14:25.771Z
1,0x000a,0.656128,0x00000000,2016-11-10T13:14:26.019Z,2016-11-10T13:14:26.449Z
1,0x000a,0.585938,0x00000000,2016-11-10T13:14:26.698Z,2016-11-10T13:14:27.136Z
1,0x000a,0.454712,0x00000000,2016-11-10T13:14:27.387Z,2016-11-10T13:14:27.839Z
1,0x000a,0.457764,0x00000000,2016-11-10T13:14:28.106Z,2016-11-10T13:14:28.542Z
1,0x000a,0.610352,0x00000000,2016-11-10T13:14:28.810Z,2016-11-10T13:14:29.230Z
1,0x000a,0.579834,0x00000000,2016-11-10T13:14:29.489Z,2016-11-10T13:14:29.922Z
1,0x000a,0.588989,0x00000000,2016-11-10T13:14:30.178Z,2016-11-10T13:14:30.625Z
1,0x000a,0.646973,0x00000000,2016-11-10T13:14:30.847Z,2016-11-10T13:14:31.297Z
1,0x000a,0.692749,0x00000000,2016-11-10T13:14:31.559Z,2016-11-10T13:14:31.987Z
1,0x000a,0.610352,0x00000000,2016-11-10T13:14:32.258Z,2016-11-10T13:14:32.712Z
1,0x000a,0.622559,0x00000000,2016-11-10T13:14:32.938Z,2016-11-10T13:14:33.436Z
1,0x000a,0.488281,0x00000000,2016-11-10T13:14:33.726Z,2016-11-10T13:14:34.166Z
1,0x000a,0.552368,0x00000000,2016-11-10T13:14:34.399Z,2016-11-10T13:14:34.805Z
1,0x000a,0.683594,0x00000000,2016-11-10T13:14:35.048Z,2016-11-10T13:14:35.412Z
1,0x000a,0.613403,0x00000000,2016-11-10T13:14:35.677Z,2016-11-10T13:14:36.112Z
1,0x000a,0.479126,0x00000000,2016-11-10T13:14:36.381Z,2016-11-10T13:14:36.834Z
1,0x000a,0.683594,0x00000000,2016-11-10T13:14:37.110Z,2016-11-10T13:14:37.547Z
1,0x000a,0.689697,0x00000000,2016-11-10T13:14:37.762Z,2016-11-10T13:14:38.212Z
1,0x000a,0.561523,0x00000000,2016-11-10T13:14:38.449Z,2016-11-10T13:14:38.899Z
1,0x000a,0.457764,0x00000000,2016-11-10T13:14:39.186Z,2016-11-10T13:14:39.610Z
1,0x000a,0.680542,0x00000000,2016-11-10T13:14:39.838Z,2016-11-10T13:14:40.269Z
1,0x000a,0.665283,0x00000000,2016-11-10T13:14:40.522Z,2016-11-10T13:14:40.960Z
1,0x000a,0.689697,0x00000000,2016-11-10T13:14:41.179Z,2016-11-10T13:14:41.611Z
1,0x000a,0.619507,0x00000000,2016-11-10T13:14:41.843Z,2016-11-10T13:14:42.275Z
1,0x000a,0.582886,0x00000000,2016-11-10T13:14:42.590Z,2016-11-10T13:14:43.014Z
1,0x000a,0.500488,0x00000000,2016-11-10T13:14:43.262Z,2016-11-10T13:14:43.683Z
1,0x000a,0.650024,0x00000000,2016-11-10T13:14:43.911Z,2016-11-10T13:14:44.361Z
1,0x000a,0.424194,0x00000000,2016-11-10T13:14:44.617Z,2016-11-10T13:14:45.095Z
1,0x000a,0.622559,0x00000000,2016-11-10T13:14:45.313Z,2016-11-10T13:14:45.765Z
1,0x000a,0.448608,0x00000000,2016-11-10T13:14:46.037Z,2016-11-10T13:14:46.425Z
