PrimaryKey,DataType,Value,StatusCode,SourceTimeStamp,ServerTimeStamp
3,0x000a,0.723267,0x00000000,2016-11-10T16:08:18.626Z,2016-11-10T16:08:18.972Z
2,0x000a,27.3163,0x00000000,2016-11-10T16:08:18.586Z,2016-11-10T16:08:18.972Z
1,0x000a,1.55334,0x00000000,2016-11-10T16:08:18.515Z,2016-11-10T16:08:18.972Z
3,0x000a,0.720215,0x00000000,2016-11-10T16:08:19.311Z,2016-11-10T16:08:19.705Z
2,0x000a,27.3315,0x00000000,2016-11-10T16:08:19.271Z,2016-11-10T16:08:19.705Z
1,0x000a,1.58691,0x00000000,2016-11-10T16:08:19.227Z,2016-11-10T16:08:19.705Z
3,0x000a,0.787354,0x00000000,2016-11-10T16:08:20.001Z,2016-11-10T16:08:20.380Z
2,0x000a,24.884,0x00000000,2016-11-10T16:08:19.972Z,2016-11-10T16:08:20.380Z
1,0x000a,1.62964,0x00000000,2016-11-10T16:08:19.934Z,2016-11-10T16:08:20.380Z
3,0x000a,0.680542,0x00000000,2016-11-10T16:08:20.694Z,2016-11-10T16:08:21.030Z
2,0x000a,25.7538,0x00000000,2016-11-10T16:08:20.642Z,2016-11-10T16:08:21.029Z
1,0x000a,1.68457,0x00000000,2016-11-10T16:08:20.599Z,2016-11-10T16:08:21.029Z
3,0x000a,0.784302,0x00000000,2016-11-10T16:08:21.373Z,2016-11-10T16:08:21.713Z
2,0x000a,26.3306,0x00000000,2016-11-10T16:08:21.339Z,2016-11-10T16:08:21.713Z
1,0x000a,1.60522,0x00000000,2016-11-10T16:08:21.278Z,2016-11-10T16:08:21.713Z
3,0x000a,0.762939,0x00000000,2016-11-10T16:08:22.057Z,2016-11-10T16:08:22.433Z
2,0x000a,24.173,0x00000000,2016-11-10T16:08:22.018Z,2016-11-10T16:08:22.433Z
1,0x000a,1.65405,0x00000000,2016-11-10T16:08:21.953Z,2016-11-10T16:08:22.432Z
3,0x000a,0.723267,0x00000000,2016-11-10T16:08:22.762Z,2016-11-10T16:08:23.054Z
2,0x000a,27.0874,0x00000000,2016-11-10T16:08:22.739Z,2016-11-10T16:08:23.054Z
3,0x000a,0.668335,0x00000000,2016-11-10T16:08:23.374Z,2016-11-10T16:08:23.690Z
2,0x000a,23.7915,0x00000000,2016-11-10T16:08:23.342Z,2016-11-10T16:08:23.690Z
1,0x000a,1.72119,0x00000000,2016-11-10T16:08:23.312Z,2016-11-10T16:08:23.690Z
3,0x000a,0.772095,0x00000000,2016-11-10T16:08:23.982Z,2016-11-10T16:08:24.341Z
2,0x000a,26.3733,0x00000000,2016-11-10T16:08:23.960Z,2016-11-10T16:08:24.341Z
1,0x000a,1.7334,0x00000000,2016-11-10T16:08:23.942Z,2016-11-10T16:08:24.340Z
3,0x000a,0.717163,0x00000000,2016-11-10T16:08:24.678Z,2016-11-10T16:08:25.056Z
2,0x000a,25.177,0x00000000,2016-11-10T16:08:24.647Z,2016-11-10T16:08:25.056Z
1,0x000a,1.59607,0x00000000,2016-11-10T16:08:24.603Z,2016-11-10T16:08:25.055Z
3,0x000a,0.720215,0x00000000,2016-11-10T16:08:25.385Z,2016-11-10T16:08:25.733Z
2,0x000a,25.0305,0x00000000,2016-11-10T16:08:25.363Z,2016-11-10T16:08:25.733Z
1,0x000a,1.59302,0x00000000,2016-11-10T16:08:25.322Z,2016-11-10T16:08:25.733Z
3,0x000a,0.741577,0x00000000,2016-11-10T16:08:26.009Z,2016-11-10T16:08:26.435Z
2,0x000a,27.3895,0x00000000,2016-11-10T16:08:25.980Z,2016-11-10T16:08:26.435Z
1,0x000a,1.70288,0x00000000,2016-11-10T16:08:25.947Z,2016-11-10T16:08:26.435Z
3,0x000a,0.689697,0x00000000,2016-11-10T16:08:26.800Z,2016-11-10T16:08:27.155Z
2,0x000a,23.8983,0x00000000,2016-11-10T16:08:26.737Z,2016-11-10T16:08:27.155Z
1,0x000a,1.651,0x00000000,2016-11-10T16:08:26.696Z,2016-11-10T16:08:27.154Z
3,0x000a,0.656128,0x00000000,2016-11-10T16:08:27.460Z,2016-11-10T16:08:27.776Z
2,0x000a,26.1353,0x00000000,2016-11-10T16:08:27.428Z,2016-11-10T16:08:27.775Z
1,0x000a,1.74561,0x00000000,2016-11-10T16:08:27.384Z,2016-11-10T16:08:27.775Z
3,0x000a,0.650024,0x00000000,2016-11-10T16:08:28.115Z,2016-11-10T16:08:28.478Z
2,0x000a,23.9349,0x00000000,2016-11-10T16:08:28.078Z,2016-11-10T16:08:28.478Z
